time_ms,state,arm,error,throttle
0,Idle,0,0,0
100,Idle,0,0,0
200,Idle,0,0,0
300,Idle,0,0,0
400,Idle,0,0,0
500,Armed,1,0,0
600,Armed,1,0,0
700,Armed,1,0,0
800,Armed,1,0,0
900,Armed,1,0,0
1000,Armed,1,0,0
1100,Armed,1,0,0
1200,Armed,1,0,0
1300,Armed,1,0,0
1400,Armed,1,0,0
1500,Armed,1,0,0
1600,Armed,1,0,0
1700,Armed,1,0,0
1800,Armed,1,0,0
1900,Armed,1,0,0
2000,Armed,1,0,0
2100,Armed,1,0,0
2200,Armed,1,0,0
2300,Armed,1,0,0
2400,Armed,1,0,0
2500,Error,1,1,0
2600,Error,1,1,0
2700,Error,1,1,0
2800,Error,1,1,0
2900,Error,1,1,0
3000,Error,1,1,0
3100,Error,1,1,0
3200,Error,1,1,0
3300,Error,1,1,0
3400,Error,1,1,0
3500,Error,1,1,0
3600,Error,1,1,0
3700,Error,1,1,0
3800,Error,1,1,0
3900,Error,1,1,0
4000,Error,1,1,0
4100,Error,1,1,0
4200,Error,1,1,0
4300,Error,1,1,0
4400,Error,1,1,0
4500,Error,1,1,0
4600,Error,1,1,0
4700,Error,1,1,0
4800,Error,1,1,0
4900,Error,1,1,0
